,Unnamed: 0,First component,Second component,distance
4884,4884,GO:1901554,GO:0036363,100.0
4954,4954,GO:1901554,GO:0070053,100.0
7768,7768,GO:0050790,GO:0070053,100.0
4881,4881,GO:1901554,GO:0050790,100.0
8076,8076,GO:0036363,GO:1901554,100.0
7698,7698,GO:0050790,GO:0036363,100.0
8097,8097,GO:0036363,GO:0050790,100.0
7674,7674,GO:0050790,GO:1901554,100.0
8170,8170,GO:0036363,GO:0070053,100.0
17477,17477,GO:0070053,GO:0050790,100.0
17456,17456,GO:0070053,GO:1901554,100.0
17480,17480,GO:0070053,GO:0036363,100.0
14452,14452,GO:0000114,GO:0031575,16.666666666666664
8958,8958,GO:0022402,GO:0031575,16.666666666666664
14404,14404,GO:0000114,GO:0022402,16.666666666666664
15342,15342,GO:0031575,GO:0022402,16.666666666666664
8951,8951,GO:0022402,GO:0000114,16.666666666666664
15383,15383,GO:0031575,GO:0000114,16.666666666666664
9569,9569,GO:0009628,GO:0033355,12.5
7441,7441,GO:0033355,GO:0009628,12.5
2408,2408,GO:0008292,GO:0070053,11.706349206349206
2338,2338,GO:0008292,GO:0036363,11.706349206349206
4190,4190,GO:1902903,GO:1901554,11.607142857142858
8071,8071,GO:0036363,GO:1902903,11.428571428571427
4284,4284,GO:1902903,GO:0070053,11.25
8875,8875,GO:0022402,GO:1902903,10.884920634920638
15307,15307,GO:0031575,GO:1902903,10.821428571428573
4268,4268,GO:1902903,GO:0031575,10.791666666666664
17437,17437,GO:0070053,GO:0008292,10.734126984126984
7669,7669,GO:0050790,GO:1902903,10.714285714285717
4841,4841,GO:1901554,GO:0008292,10.694444444444445
4220,4220,GO:1902903,GO:0022402,10.634920634920636
8057,8057,GO:0036363,GO:0008292,10.456349206349207
4261,4261,GO:1902903,GO:0000114,10.345238095238095
4211,4211,GO:1902903,GO:0050790,10.178571428571429
4855,4855,GO:1901554,GO:1902903,10.178571428571429
14369,14369,GO:0000114,GO:1902903,10.148809523809524
7655,7655,GO:0050790,GO:0008292,10.138888888888891
4214,4214,GO:1902903,GO:0036363,9.107142857142858
1859,1859,GO:0006956,GO:0001867,9.090909090909092
14448,14448,GO:0000114,GO:0004971,9.087301587301585
15809,15809,GO:0001867,GO:0006958,9.072727272727274
17567,17567,GO:0006958,GO:0006956,9.063636363636364
15691,15691,GO:0001867,GO:0006956,9.050505050505052
17671,17671,GO:0006958,GO:0001867,9.046015712682381
2314,2314,GO:0008292,GO:1901554,9.027777777777779
1873,1873,GO:0006956,GO:0006958,8.971969696969698
4171,4171,GO:1902903,GO:0008292,8.836451247165533
14806,14806,GO:0004971,GO:0022402,8.797619047619047
15386,15386,GO:0031575,GO:0004971,8.634920634920636
8954,8954,GO:0022402,GO:0004971,8.619047619047619
1400,1400,GO:0051098,GO:0036363,8.561771561771563
14847,14847,GO:0004971,GO:0000114,8.45238095238095
1376,1376,GO:0051098,GO:1901554,8.383449883449883
