,First component,Second component,distance
123,cell_1,cellsurface,66.01092896174863
124,cell_1,Apoplast,51.333333333333336
125,cell_1,compartment_0,60.3419540229885
126,cell_1,compartment_0000001,32.666666666666664
127,cell_1,default,59.20029563932003
128,cell_1,medium,145.0
129,cell_1,c2,47.114285714285714
130,cell_1,intra,46.007751937984494
131,cell_1,_3,17.952380952380953
132,cell_1,Neuronal_cytosol,35.04761904761905
133,cell_1,compartment_2,96.0952380952381
134,cell_1,Lysosome,35.04761904761905
135,cell_1,extra,44.23197492163009
136,cell_1,mitochondria,68.77777777777777
137,cell_1,intracellular,366.79079254079255
138,cell_1,cytoplasm,62.08977361436378
139,cell_1,nucleus,59.53252850435949
140,cell_1,lumen,77.16666666666667
141,cell_1,Excreted,15.043478260869565
142,cell_1,dnabound,66.01092896174863
143,cell_1,mw53ffe9e6_beef_45c4_90a5_a79197ed506e,130.75355450236967
144,cell_1,body,21.533333333333335
145,cell_1,LP,23.21212121212121
146,cell_1,Neuron,21.22222222222222
147,cell_1,Epithelium,23.21212121212121
148,cell_1,env,114.0
149,cell_1,Brain,12.166666666666666
150,cell_1,artery,53.55
151,cell_1,cell,46.422222222222224
152,cell_1,c1,112.37777777777778
153,cell_1,mw88ca8d9a_f5cf_41bf_9d9d_fc48f6e1a19e,130.75355450236967
154,cell_1,Nucleus,32.52657004830918
155,cell_1,mwe9501423_9fb4_494b_b5b6_288f3fcb17b5,130.75355450236967
156,cell_1,def,51.833780160857906
157,cell_1,Cell,52.55555555555556
158,cell_1,plasma,77.16666666666667
159,cell_1,n,28.916666666666668
160,cell_1,MLN,23.21212121212121
161,cell_1,VMAT,210.43589743589743
162,compartment_3,HepaticTissue,54.066933638443935
163,compartment_3,cell_1,55.86842105263158
164,compartment_3,compartment_3,69.83552631578948
165,compartment_3,Lumen,51.47129186602871
166,compartment_3,compartment_4,58.31914344685242
167,compartment_3,Proteasome,55.703007518796994
168,compartment_3,blood,78.91912280701754
169,compartment_3,cytosol,76.72429620563035
170,compartment_3,extracellular,234.36653739612188
171,compartment_3,Intake,54.066933638443935
172,compartment_3,system,56.550438596491226
173,compartment_3,endosomal_membrane,133.90131578947367
174,compartment_3,Vesicle,55.703007518796994
175,compartment_3,phloem,59.25
176,compartment_3,endosome,54.126315789473686
177,compartment_3,venous_balloon,64.56184210526315
178,compartment_3,PeripheralTissue,54.066933638443935
179,compartment_3,mito,79.82766812865498
180,compartment_3,Autophagosome,55.703007518796994
181,compartment_3,plasma_membrane,133.90131578947367
182,compartment_3,c3,66.52556390977443
183,compartment_3,V,73.72587719298245
184,compartment_3,lysosomes,133.90131578947367
185,compartment_3,compartment_1,89.72740195363755
186,compartment_3,endosomes,133.90131578947367
187,compartment_3,synapse,53.27302631578947
188,compartment_3,Spine,55.223684210526315
189,compartment_3,compartment,73.84132205513785
