,Unnamed: 0,Unnamed: 0.1,First component,Second component,distance
16356,14606,14606,GO:0008203,GO:0007173,1.6790458937198067
16357,11408,11408,GO:0007259,GO:0000278,1.6788774705250675
16358,3742,3742,GO:0038160,GO:0007571,1.6788126733947166
16359,13637,13637,GO:2000772,GO:0043161,1.6775200240610393
16360,10638,10638,GO:0005249,GO:1900407,1.6773955623901782
16361,16989,16989,GO:0034079,GO:2000479,1.6772275143697386
16362,11659,11659,GO:0009649,GO:0010506,1.6770432608028518
16363,11472,11472,GO:0007259,GO:0038029,1.6767224710276512
16364,7006,7006,GO:1900407,GO:0042417,1.6767005605269745
16365,1563,1563,GO:0004915,GO:0006935,1.676028692296023
16366,149,149,GO:0010506,GO:0007265,1.6759759097684797
16367,8747,8747,GO:0008286,GO:0010628,1.6758838383838381
16368,5682,5682,GO:0042698,GO:0006955,1.675586570180392
16369,11033,11033,GO:0038029,GO:1900452,1.675489908268546
16370,16668,16668,GO:0007571,GO:1900407,1.67498310232864
16371,16386,16386,GO:0006690,GO:0042417,1.6749084249084247
16372,1479,1479,GO:0004915,GO:0044419,1.6747376393175677
16373,8972,8972,GO:0022402,GO:0002376,1.6742704391698198
16374,17927,17927,GO:0042987,GO:2000479,1.6742096604415444
16375,2414,2414,GO:0000278,GO:0072378,1.6740999308942506
16376,14163,14163,GO:2000479,GO:0045087,1.6738080717236727
16377,5012,5012,GO:0010628,GO:0006955,1.6737025739783091
16378,16901,16901,GO:0034079,GO:0008292,1.6733038866921517
16379,16655,16655,GO:0007571,GO:0000096,1.6728789235504984
16380,13505,13505,GO:0019058,GO:2000479,1.6725651963694703
16381,10721,10721,GO:0019222,GO:0010506,1.6724839690848463
16382,5759,5759,GO:0042698,GO:0006958,1.6721799708277758
16383,392,392,GO:0072378,GO:0007571,1.6718576219564365
16384,9327,9327,GO:0006412,GO:0031639,1.6715330736228569
16385,4280,4280,GO:1902903,GO:0034079,1.6713263947347798
16386,12705,12705,GO:0010468,GO:0008203,1.67058273057987
16387,5009,5009,GO:0010628,GO:0051414,1.670551767920189
16388,16361,16361,GO:0006690,GO:0006956,1.66993006993007
16389,14828,14828,GO:0004971,GO:0048167,1.668781328320802
16390,2938,2938,GO:1900271,GO:0007571,1.6684079575323034
16391,10731,10731,GO:0019222,GO:0004915,1.6683252685305447
16392,15032,15032,GO:0070482,GO:0016563,1.6683138370057873
16393,11609,11609,GO:0006595,GO:0007259,1.6674563735843104
16394,10037,10037,GO:0032869,GO:0006119,1.667079250714042
16395,14132,14132,GO:2000479,GO:0019372,1.6666076014844489
16396,12783,12783,GO:0097210,GO:0034205,1.6664087967291632
16397,5495,5495,GO:0046656,GO:0010506,1.666396234109896
16398,14861,14861,GO:0004971,GO:0006119,1.6659329283552886
16399,13665,13665,GO:2000772,GO:0006958,1.6657503527068744
16400,6711,6711,GO:0006096,GO:0004915,1.665716453001301
16401,9665,9665,GO:0005248,GO:0008292,1.6656241189585423
16402,15629,15629,GO:0009734,GO:0007259,1.6656226126814364
16403,14680,14680,GO:0008203,GO:0032869,1.6653833961614282
