,First component,Second component,distance
0,Plasma_pool,Plasma_pool,0.0
1,Plasma_pool,musclefibre,0.0
2,Plasma_pool,Intake,0.0
3,Plasma_pool,Kidney,0.0
4,Plasma_pool,compartment_4,0.0
5,Plasma_pool,Vd_IL5,0.0
6,Plasma_pool,plasma_membrane,0.0
7,Plasma_pool,CellSurface,0.0
8,Plasma_pool,V_medium,0.0
9,Plasma_pool,_1,0.0
10,musclefibre,Plasma_pool,0.0
11,musclefibre,musclefibre,0.0
12,musclefibre,Intake,0.0
13,musclefibre,Kidney,0.0
14,musclefibre,compartment_4,0.0
15,musclefibre,Vd_IL5,0.0
16,musclefibre,plasma_membrane,0.0
17,musclefibre,CellSurface,0.0
18,musclefibre,V_medium,0.0
19,musclefibre,_1,0.0
20,Intake,Plasma_pool,0.0
21,Intake,musclefibre,0.0
22,Intake,Intake,100.0
23,Intake,Kidney,0.0
24,Intake,compartment_4,44.0
25,Intake,Vd_IL5,0.0
26,Intake,plasma_membrane,27.0
27,Intake,CellSurface,0.0
28,Intake,V_medium,0.0
29,Intake,_1,45.0
30,Kidney,Plasma_pool,0.0
31,Kidney,musclefibre,0.0
32,Kidney,Intake,0.0
33,Kidney,Kidney,0.0
34,Kidney,compartment_4,0.0
35,Kidney,Vd_IL5,0.0
36,Kidney,plasma_membrane,0.0
37,Kidney,CellSurface,0.0
38,Kidney,V_medium,0.0
39,Kidney,_1,0.0
40,compartment_4,Plasma_pool,0.0
41,compartment_4,musclefibre,0.0
42,compartment_4,Intake,44.0
43,compartment_4,Kidney,0.0
44,compartment_4,compartment_4,59.875
45,compartment_4,Vd_IL5,0.0
46,compartment_4,plasma_membrane,33.5
47,compartment_4,CellSurface,0.0
48,compartment_4,V_medium,0.0
49,compartment_4,_1,47.25
50,Vd_IL5,Plasma_pool,0.0
51,Vd_IL5,musclefibre,0.0
52,Vd_IL5,Intake,0.0
53,Vd_IL5,Kidney,0.0
54,Vd_IL5,compartment_4,0.0
55,Vd_IL5,Vd_IL5,0.0
56,Vd_IL5,plasma_membrane,0.0
57,Vd_IL5,CellSurface,0.0
58,Vd_IL5,V_medium,0.0
59,Vd_IL5,_1,0.0
60,plasma_membrane,Plasma_pool,0.0
61,plasma_membrane,musclefibre,0.0
62,plasma_membrane,Intake,27.0
63,plasma_membrane,Kidney,0.0
64,plasma_membrane,compartment_4,33.5
65,plasma_membrane,Vd_IL5,0.0
66,plasma_membrane,plasma_membrane,100.0
67,plasma_membrane,CellSurface,0.0
68,plasma_membrane,V_medium,0.0
69,plasma_membrane,_1,39.0
70,CellSurface,Plasma_pool,0.0
71,CellSurface,musclefibre,0.0
72,CellSurface,Intake,0.0
73,CellSurface,Kidney,0.0
74,CellSurface,compartment_4,0.0
75,CellSurface,Vd_IL5,0.0
76,CellSurface,plasma_membrane,0.0
77,CellSurface,CellSurface,0.0
78,CellSurface,V_medium,0.0
79,CellSurface,_1,0.0
80,V_medium,Plasma_pool,0.0
81,V_medium,musclefibre,0.0
82,V_medium,Intake,0.0
83,V_medium,Kidney,0.0
84,V_medium,compartment_4,0.0
85,V_medium,Vd_IL5,0.0
86,V_medium,plasma_membrane,0.0
87,V_medium,CellSurface,0.0
88,V_medium,V_medium,0.0
89,V_medium,_1,0.0
90,_1,Plasma_pool,0.0
91,_1,musclefibre,0.0
92,_1,Intake,45.0
93,_1,Kidney,0.0
94,_1,compartment_4,47.25
95,_1,Vd_IL5,0.0
96,_1,plasma_membrane,39.0
97,_1,CellSurface,0.0
98,_1,V_medium,0.0
99,_1,_1,100.0
