,Unnamed: 0,Unnamed: 0.1,First component,Second component,distance
41,14487,14487,GO:0006412,GO:0031575,318.00000000000006
40,14481,14481,GO:0006412,GO:0031639,318.00000000000006
39,14472,14472,GO:0006412,GO:0022402,318.00000000000006
38,1314,1314,GO:0031639,GO:0006412,318.00000000000006
36,2118,2118,GO:0031575,GO:0006412,318.00000000000006
37,108,108,GO:0022402,GO:0006412,318.00000000000006
42,4396,4396,GO:0008292,GO:0006412,317.50000000000006
43,14504,14504,GO:0006412,GO:0008292,317.50000000000006
44,12704,12704,GO:0004971,GO:0006412,317.25000000000006
45,14566,14566,GO:0006412,GO:0004971,317.25000000000006
46,14587,14587,GO:0006412,GO:0030157,316.66666666666663
47,15518,15518,GO:0030157,GO:0006412,316.66666666666663
48,8952,8952,GO:1902903,GO:0006412,316.50000000000006
49,14538,14538,GO:0006412,GO:1902903,316.50000000000006
50,14490,14490,GO:0006412,GO:0019253,316.2361111111112
51,2520,2520,GO:0019253,GO:0006412,316.2361111111112
54,14503,14503,GO:0006412,GO:0033355,315.0
55,14502,14502,GO:0006412,GO:0009628,315.0
53,4128,4128,GO:0009628,GO:0006412,315.0
52,4262,4262,GO:0033355,GO:0006412,315.0
57,14536,14536,GO:0006412,GO:0032869,314.468085106383
56,8684,8684,GO:0032869,GO:0006412,314.468085106383
58,14565,14565,GO:0006412,GO:0000114,314.00000000000006
59,12570,12570,GO:0000114,GO:0006412,314.00000000000006
60,376,376,GO:0010468,GO:0006412,313.92307692307685
61,14474,14474,GO:0006412,GO:0010468,313.92307692307685
63,8818,8818,GO:2000479,GO:0006412,313.86666666666673
62,14537,14537,GO:0006412,GO:2000479,313.86666666666673
64,14496,14496,GO:0006412,GO:1900452,313.33333333333337
65,3190,3190,GO:1900271,GO:0006412,313.33333333333337
66,14497,14497,GO:0006412,GO:0048167,313.33333333333337
67,14495,14495,GO:0006412,GO:1900271,313.33333333333337
68,3324,3324,GO:1900452,GO:0006412,313.33333333333337
69,3458,3458,GO:0048167,GO:0006412,313.33333333333337
71,14576,14576,GO:0006412,GO:0010506,312.8148148148148
70,14044,14044,GO:0010506,GO:0006412,312.8148148148148
72,14485,14485,GO:0006412,GO:0007571,312.5652173913044
75,14486,14486,GO:0006412,GO:0008203,312.5652173913044
73,1850,1850,GO:0007571,GO:0006412,312.5652173913044
74,1984,1984,GO:0008203,GO:0006412,312.5652173913044
77,15250,15250,GO:0045087,GO:0006412,312.50000000000006
78,14564,14564,GO:0006412,GO:0046656,312.50000000000006
79,14585,14585,GO:0006412,GO:0045087,312.50000000000006
76,12436,12436,GO:0046656,GO:0006412,312.50000000000006
80,9756,9756,GO:2000772,GO:0006412,312.1388888888889
81,14544,14544,GO:0006412,GO:2000772,312.1388888888889
86,11766,11766,GO:0005516,GO:0006412,312.07407407407413
91,14563,14563,GO:0006412,GO:0005513,312.07407407407413
89,14562,14562,GO:0006412,GO:0031915,312.07407407407413
87,14561,14561,GO:0006412,GO:0004722,312.07407407407413
90,14560,14560,GO:0006412,GO:0004683,312.07407407407413
85,12168,12168,GO:0031915,GO:0006412,312.07407407407413
83,12034,12034,GO:0004722,GO:0006412,312.07407407407413
