,First component,Second component,distance
0,VArt,VArt,0.0
1,VArt,Plasma,0.0
2,VArt,post_synaptic_cell,0.0
3,VArt,Cell,0.0
4,VArt,apical,0.0
5,VArt,Bone,0.0
6,VArt,Kidney,0.0
7,VArt,compartment_0000002,0.0
8,VArt,Vesicle,0.0
9,VArt,Proteasome,0.0
10,Plasma,VArt,0.0
11,Plasma,Plasma,25.0
12,Plasma,post_synaptic_cell,0.0
13,Plasma,Cell,11.5
14,Plasma,apical,0.0
15,Plasma,Bone,0.0
16,Plasma,Kidney,0.0
17,Plasma,compartment_0000002,0.0
18,Plasma,Vesicle,20.0
19,Plasma,Proteasome,20.0
20,post_synaptic_cell,VArt,0.0
21,post_synaptic_cell,Plasma,0.0
22,post_synaptic_cell,post_synaptic_cell,0.0
23,post_synaptic_cell,Cell,0.0
24,post_synaptic_cell,apical,0.0
25,post_synaptic_cell,Bone,0.0
26,post_synaptic_cell,Kidney,0.0
27,post_synaptic_cell,compartment_0000002,0.0
28,post_synaptic_cell,Vesicle,0.0
29,post_synaptic_cell,Proteasome,0.0
30,Cell,VArt,0.0
31,Cell,Plasma,11.5
32,Cell,post_synaptic_cell,0.0
33,Cell,Cell,35.28
34,Cell,apical,0.0
35,Cell,Bone,0.0
36,Cell,Kidney,0.0
37,Cell,compartment_0000002,0.0
38,Cell,Vesicle,23.4
39,Cell,Proteasome,23.4
40,apical,VArt,0.0
41,apical,Plasma,0.0
42,apical,post_synaptic_cell,0.0
43,apical,Cell,0.0
44,apical,apical,0.0
45,apical,Bone,0.0
46,apical,Kidney,0.0
47,apical,compartment_0000002,0.0
48,apical,Vesicle,0.0
49,apical,Proteasome,0.0
50,Bone,VArt,0.0
51,Bone,Plasma,0.0
52,Bone,post_synaptic_cell,0.0
53,Bone,Cell,0.0
54,Bone,apical,0.0
55,Bone,Bone,0.0
56,Bone,Kidney,0.0
57,Bone,compartment_0000002,0.0
58,Bone,Vesicle,0.0
59,Bone,Proteasome,0.0
60,Kidney,VArt,0.0
61,Kidney,Plasma,0.0
62,Kidney,post_synaptic_cell,0.0
63,Kidney,Cell,0.0
64,Kidney,apical,0.0
65,Kidney,Bone,0.0
66,Kidney,Kidney,0.0
67,Kidney,compartment_0000002,0.0
68,Kidney,Vesicle,0.0
69,Kidney,Proteasome,0.0
70,compartment_0000002,VArt,0.0
71,compartment_0000002,Plasma,0.0
72,compartment_0000002,post_synaptic_cell,0.0
73,compartment_0000002,Cell,0.0
74,compartment_0000002,apical,0.0
75,compartment_0000002,Bone,0.0
76,compartment_0000002,Kidney,0.0
77,compartment_0000002,compartment_0000002,0.0
78,compartment_0000002,Vesicle,0.0
79,compartment_0000002,Proteasome,0.0
80,Vesicle,VArt,0.0
81,Vesicle,Plasma,20.0
82,Vesicle,post_synaptic_cell,0.0
83,Vesicle,Cell,23.4
84,Vesicle,apical,0.0
85,Vesicle,Bone,0.0
86,Vesicle,Kidney,0.0
87,Vesicle,compartment_0000002,0.0
88,Vesicle,Vesicle,100.0
89,Vesicle,Proteasome,100.0
90,Proteasome,VArt,0.0
91,Proteasome,Plasma,20.0
92,Proteasome,post_synaptic_cell,0.0
93,Proteasome,Cell,23.4
94,Proteasome,apical,0.0
95,Proteasome,Bone,0.0
96,Proteasome,Kidney,0.0
97,Proteasome,compartment_0000002,0.0
98,Proteasome,Vesicle,100.0
99,Proteasome,Proteasome,100.0
