,First component,Second component,distance
0,VCYT,VCYT,100.0
1,VCYT,VLiver,0.0
2,VCYT,compartment_0,36.333333333333336
3,VCYT,artery,45.0
4,VCYT,CYTOPLASM,0.0
5,VCYT,V_BM,0.0
6,VCYT,Vd_AW_ZF,0.0
7,VCYT,phloem,40.0
8,VCYT,Neuronal_cytosol,40.0
9,VCYT,bone,0.0
10,VLiver,VCYT,0.0
11,VLiver,VLiver,0.0
12,VLiver,compartment_0,0.0
13,VLiver,artery,0.0
14,VLiver,CYTOPLASM,0.0
15,VLiver,V_BM,0.0
16,VLiver,Vd_AW_ZF,0.0
17,VLiver,phloem,0.0
18,VLiver,Neuronal_cytosol,0.0
19,VLiver,bone,0.0
20,compartment_0,VCYT,36.333333333333336
21,compartment_0,VLiver,0.0
22,compartment_0,compartment_0,56.04938271604938
23,compartment_0,artery,34.44444444444444
24,compartment_0,CYTOPLASM,0.0
25,compartment_0,V_BM,0.0
26,compartment_0,Vd_AW_ZF,0.0
27,compartment_0,phloem,40.0
28,compartment_0,Neuronal_cytosol,36.0
29,compartment_0,bone,0.0
30,artery,VCYT,45.0
31,artery,VLiver,0.0
32,artery,compartment_0,34.44444444444444
33,artery,artery,100.0
34,artery,CYTOPLASM,0.0
35,artery,V_BM,0.0
36,artery,Vd_AW_ZF,0.0
37,artery,phloem,40.0
38,artery,Neuronal_cytosol,41.0
39,artery,bone,0.0
40,CYTOPLASM,VCYT,0.0
41,CYTOPLASM,VLiver,0.0
42,CYTOPLASM,compartment_0,0.0
43,CYTOPLASM,artery,0.0
44,CYTOPLASM,CYTOPLASM,0.0
45,CYTOPLASM,V_BM,0.0
46,CYTOPLASM,Vd_AW_ZF,0.0
47,CYTOPLASM,phloem,0.0
48,CYTOPLASM,Neuronal_cytosol,0.0
49,CYTOPLASM,bone,0.0
50,V_BM,VCYT,0.0
51,V_BM,VLiver,0.0
52,V_BM,compartment_0,0.0
53,V_BM,artery,0.0
54,V_BM,CYTOPLASM,0.0
55,V_BM,V_BM,0.0
56,V_BM,Vd_AW_ZF,0.0
57,V_BM,phloem,0.0
58,V_BM,Neuronal_cytosol,0.0
59,V_BM,bone,0.0
60,Vd_AW_ZF,VCYT,0.0
61,Vd_AW_ZF,VLiver,0.0
62,Vd_AW_ZF,compartment_0,0.0
63,Vd_AW_ZF,artery,0.0
64,Vd_AW_ZF,CYTOPLASM,0.0
65,Vd_AW_ZF,V_BM,0.0
66,Vd_AW_ZF,Vd_AW_ZF,0.0
67,Vd_AW_ZF,phloem,0.0
68,Vd_AW_ZF,Neuronal_cytosol,0.0
69,Vd_AW_ZF,bone,0.0
70,phloem,VCYT,40.0
71,phloem,VLiver,0.0
72,phloem,compartment_0,40.0
73,phloem,artery,40.0
74,phloem,CYTOPLASM,0.0
75,phloem,V_BM,0.0
76,phloem,Vd_AW_ZF,0.0
77,phloem,phloem,100.0
78,phloem,Neuronal_cytosol,40.0
79,phloem,bone,0.0
80,Neuronal_cytosol,VCYT,40.0
81,Neuronal_cytosol,VLiver,0.0
82,Neuronal_cytosol,compartment_0,36.0
83,Neuronal_cytosol,artery,41.0
84,Neuronal_cytosol,CYTOPLASM,0.0
85,Neuronal_cytosol,V_BM,0.0
86,Neuronal_cytosol,Vd_AW_ZF,0.0
87,Neuronal_cytosol,phloem,40.0
88,Neuronal_cytosol,Neuronal_cytosol,100.0
89,Neuronal_cytosol,bone,0.0
90,bone,VCYT,0.0
91,bone,VLiver,0.0
92,bone,compartment_0,0.0
93,bone,artery,0.0
94,bone,CYTOPLASM,0.0
95,bone,V_BM,0.0
96,bone,Vd_AW_ZF,0.0
97,bone,phloem,0.0
98,bone,Neuronal_cytosol,0.0
99,bone,bone,0.0
